,avg_ratings,all_ratings,actual_price,with_discount,reviews
542,4.2,"49,401 Ratings","₹22,999","₹13,499"," 3,572 Reviews"
543,4.5,274 Ratings,"₹1,28,999","₹94,999", 40 Reviews
544,4.6,"79,739 Ratings","₹89,999","₹49,990"," 5,411 Reviews"
545,4.4,"73,607 Ratings","₹84,999","₹44,990"," 4,431 Reviews"
546,4.1,"3,122 Ratings","₹28,990","₹21,999", 192 Reviews
547,4.4,"73,607 Ratings","₹79,999","₹37,990"," 4,431 Reviews"
548,4.4,"73,607 Ratings","₹79,999","₹34,999"," 4,431 Reviews"
549,4.4,"73,607 Ratings","₹84,999","₹44,990"," 4,431 Reviews"
550,4.4,"73,607 Ratings","₹84,999","₹44,990"," 4,431 Reviews"
551,4.4,"73,607 Ratings","₹84,999","₹44,990"," 4,431 Reviews"
552,4.3,"1,200 Ratings","₹13,999","₹10,499", 69 Reviews
553,4.5,"11,782 Ratings","₹99,999","₹59,999", 874 Reviews
554,4.5,"15,812 Ratings","₹65,999","₹45,999"," 1,194 Reviews"
555,4.6,"5,300 Ratings","₹1,34,999","₹84,990", 433 Reviews
556,4.6,"7,956 Ratings","₹74,999","₹64,999", 434 Reviews
557,4.5,"15,812 Ratings","₹59,999","₹39,999"," 1,194 Reviews"
558,4.5,"15,812 Ratings","₹65,999","₹45,999"," 1,194 Reviews"
559,4.5,"15,812 Ratings","₹59,999","₹39,999"," 1,194 Reviews"
560,4.6,"5,300 Ratings","₹1,34,999","₹81,899", 433 Reviews
561,4.5,"11,782 Ratings","₹99,999","₹59,999", 874 Reviews
562,4.5,"15,812 Ratings","₹59,999","₹39,999"," 1,194 Reviews"
563,4.5,"15,812 Ratings","₹65,999","₹45,999"," 1,194 Reviews"
564,4.2,"74,699 Ratings",,"₹12,499"," 5,178 Reviews"
565,4.3,"9,104 Ratings","₹32,999","₹17,345", 804 Reviews
566,4,184 Ratings,"₹22,999","₹15,415", 9 Reviews
567,4.4,"14,853 Ratings","₹13,999","₹9,999", 472 Reviews
568,4.3,"2,12,390 Ratings",,"₹14,999"," 10,811 Reviews"
569,4.4,"17,423 Ratings","₹14,999","₹10,999", 543 Reviews
570,4.2,471 Ratings,"₹13,999","₹10,248", 22 Reviews
571,4.5,"17,700 Ratings","₹16,999","₹12,999"," 2,484 Reviews"
572,4.2,471 Ratings,"₹13,999","₹10,248", 22 Reviews
573,4.2,"67,519 Ratings","₹15,999","₹9,999"," 3,934 Reviews"
574,4.4,"2,33,143 Ratings",,"₹20,999"," 11,734 Reviews"
575,4.3,602 Ratings,"₹16,999","₹13,499", 29 Reviews
576,4.6,"2,237 Ratings","₹80,999","₹74,999", 278 Reviews
577,4.2,372 Ratings,"₹31,499","₹21,768", 18 Reviews
578,4.2,372 Ratings,"₹31,499","₹29,999", 18 Reviews
579,,,"₹80,999","₹74,040",
580,4.6,"2,237 Ratings","₹80,999","₹74,999", 278 Reviews
581,4.6,"2,237 Ratings","₹92,999","₹86,999", 278 Reviews
582,4.6,"2,237 Ratings","₹92,999","₹86,999", 278 Reviews
583,4.8,35 Ratings,,"₹1,11,999", 3 Reviews
584,4.6,"2,237 Ratings","₹92,999","₹86,999", 278 Reviews
585,,,"₹1,09,999","₹1,05,040",
586,4.5,"50,575 Ratings","₹27,999","₹23,999"," 2,408 Reviews"
587,4.5,"10,671 Ratings","₹24,999","₹21,499", 531 Reviews
588,4.3,570 Ratings,"₹24,999","₹20,889", 36 Reviews
589,4.3,"2,007 Ratings","₹20,499","₹16,699", 102 Reviews
590,4.2,"87,111 Ratings",,"₹19,999"," 5,510 Reviews"
591,4.3,"2,007 Ratings","₹20,499","₹16,988", 102 Reviews
592,4.5,976 Ratings,"₹26,999","₹23,499", 53 Reviews
593,4.3,570 Ratings,"₹24,999","₹20,784", 36 Reviews
594,4.4,"2,487 Ratings","₹31,999","₹27,999", 225 Reviews
595,4.4,"87,519 Ratings","₹20,999","₹16,999"," 4,526 Reviews"
596,4.4,30 Ratings,"₹26,999","₹23,473", 3 Reviews
597,4.5,"50,575 Ratings","₹27,999","₹23,999"," 2,408 Reviews"
598,4.3,"16,416 Ratings","₹27,999","₹18,999"," 1,362 Reviews"
599,4.4,"5,095 Ratings","₹33,999","₹25,999", 607 Reviews
600,4.3,"3,653 Ratings",,"₹31,999", 261 Reviews
601,4.5,"10,671 Ratings","₹24,999","₹21,499", 531 Reviews
602,4.3,58 Ratings,"₹26,999","₹20,999", 4 Reviews
603,4.5,"10,671 Ratings","₹24,999","₹21,499", 531 Reviews
604,4.5,976 Ratings,"₹26,999","₹23,499", 53 Reviews
605,4.5,976 Ratings,"₹26,999","₹23,499", 53 Reviews
606,4.4,890 Ratings,"₹23,999","₹21,499", 123 Reviews
607,4.3,"3,653 Ratings",,"₹31,999", 261 Reviews
608,4.4,30 Ratings,"₹26,999","₹23,473", 3 Reviews
609,4.6,"2,237 Ratings","₹80,999","₹74,999", 278 Reviews
610,4.4,890 Ratings,"₹23,999","₹21,499", 123 Reviews
611,4.6,36 Ratings,"₹26,999","₹20,999", 2 Reviews
612,4.6,"2,237 Ratings","₹80,999","₹74,999", 278 Reviews
613,3.9,203 Ratings,"₹30,999","₹25,999", 28 Reviews
614,4.1,"1,503 Ratings",,"₹12,300", 135 Reviews
615,4.3,"20,281 Ratings","₹25,999","₹21,999"," 1,806 Reviews"
616,3.9,203 Ratings,"₹27,999","₹22,999", 28 Reviews
617,4.3,184 Ratings,"₹39,999","₹26,999", 18 Reviews
618,4.2,"22,636 Ratings","₹31,999","₹18,990"," 1,875 Reviews"
619,4.6,12 Ratings,"₹26,999","₹20,999", 1 Reviews
620,4.4,890 Ratings,"₹23,999","₹21,499", 123 Reviews
621,,,,"₹15,499",
622,4.1,"1,503 Ratings",,"₹12,399", 135 Reviews
623,4.3,"13,533 Ratings","₹29,999","₹22,999"," 1,815 Reviews"
624,4.3,21 Ratings,,"₹6,399", 10 Reviews
625,4.3,21 Ratings,,"₹6,399", 10 Reviews
626,4.4,"12,036 Ratings","₹34,999","₹21,390", 474 Reviews
627,,,₹599,₹158,
628,3.5,13 Ratings,,"₹7,499", 5 Reviews
629,4.3,"1,876 Ratings","₹28,999","₹20,900", 98 Reviews
630,4.4,"28,239 Ratings","₹36,999","₹30,299"," 2,920 Reviews"
631,4.2,"2,804 Ratings","₹18,999","₹10,999", 122 Reviews
632,4.2,"2,804 Ratings","₹18,999","₹13,999", 122 Reviews
633,4.4,"8,151 Ratings","₹41,714","₹30,999"," 1,030 Reviews"
634,4.3,"1,876 Ratings","₹26,999","₹19,999", 98 Reviews
635,4.4,"3,679 Ratings","₹40,999","₹36,999", 369 Reviews
636,4.3,"1,876 Ratings","₹26,999","₹19,999", 98 Reviews
637,4.2,"2,804 Ratings","₹18,999","₹12,399", 122 Reviews
